X1,X2,X3,X4,Y
5.5923,5.4837,12.6800,11.6113,90.2455
46.5007,4.9949,3.9522,4.9938,143.2029
30.9716,3.1138,6.5462,23.6864,169.1647
21.5048,8.2872,11.6125,-3.8978,93.6782
-9.9227,6.7195,8.7134,9.7507,66.3396
-9.9244,11.3884,12.8171,13.9078,144.9670
-16.8761,1.3853,16.3793,18.5459,38.9541
40.4985,8.7264,2.8647,3.0579,166.3789
21.6792,10.1554,12.3531,13.4161,186.8814
29.2732,10.1138,4.6855,-0.7815,148.7639
-19.5385,11.6329,7.6316,4.1126,92.3734
47.8636,9.7484,1.5258,21.1382,270.6172
38.1034,12.1337,3.1745,23.1466,292.6627
-5.9239,4.9919,6.1164,14.5962,75.0932
-8.0904,7.0385,6.4718,1.8510,41.4874
-7.9783,1.1690,15.3934,18.3421,54.4282
0.6012,1.0835,12.8690,-11.0429,-44.5442
16.2577,3.8815,16.5549,-8.1984,18.0015
9.6681,2.2097,10.5851,12.4708,74.2475
-0.3227,4.1225,4.8674,-1.2238,15.0474
22.4416,3.1245,6.2425,23.2013,149.6296
-11.0959,1.3422,6.1174,4.1342,-5.5488
-0.2577,11.9116,6.2239,3.8865,134.2146
5.0117,1.0987,11.7674,13.0889,61.8093
11.3810,9.8330,9.4929,16.4000,177.4411
34.7475,2.8258,7.1668,5.5957,101.9405
-6.8232,11.9468,3.3854,-4.0820,91.3281
15.5106,11.7136,1.3542,16.6124,215.1975
21.0614,8.8468,4.5014,-0.1470,115.5831
-17.7020,9.0668,2.7195,-5.5209,23.7305
22.1357,1.0641,13.5671,11.3707,85.1997
-8.8928,12.8185,2.8000,-8.6532,80.9378
-16.3813,11.5340,12.5877,23.9400,176.9864
46.3709,11.7413,7.1705,11.3987,255.0333
47.5599,8.9109,2.1741,24.4781,269.4947
36.3962,5.1374,14.0037,0.5391,104.9513
0.6276,11.7238,10.2741,23.9346,213.3857
-14.0653,4.4982,4.7722,-6.6142,-30.5763
27.5805,7.7525,15.3149,-10.4943,71.5374
10.2508,2.1968,1.7241,-10.7796,-13.9421
-12.3353,12.0635,4.2291,5.2002,117.9274
14.1576,2.6892,13.0328,-8.9288,0.6969
-18.5584,3.6988,12.3500,6.9502,8.1783
43.5617,7.6976,5.6283,0.1175,145.7122
-2.6266,10.1691,1.9924,0.4183,91.2463
26.0391,8.4322,14.7292,11.5175,166.1099
1.1315,3.7856,6.0192,-5.9654,-4.9742
15.9248,1.0113,4.1314,16.3625,96.7721
17.8164,10.0858,9.2570,9.5351,166.3458
-7.8753,12.8225,15.5636,21.8530,202.7859
47.8405,10.7190,1.6967,1.4991,203.5209
34.0344,6.5225,13.2529,24.3605,211.1547
45.7044,11.8452,10.1596,9.3056,246.5969
42.5327,5.9182,7.8072,24.0159,220.0611
21.4509,7.2992,12.9053,-10.9988,52.5804
44.4531,6.7256,16.4532,14.9351,195.9166
-14.7170,6.3715,4.6673,18.2150,88.7284
-7.0852,10.3023,3.2984,-10.0326,42.8231
-17.7889,7.3212,15.6061,9.4219,54.9200
2.0985,4.8006,11.7032,17.6719,99.3904
6.5961,4.0979,8.0078,8.7584,69.4895
-1.7342,1.4530,10.1722,-9.6389,-40.4528
37.8404,7.9983,12.9298,13.6575,192.5531
4.3295,3.7595,13.3685,-9.7579,-13.1009
-1.0536,2.7776,15.7183,18.2463,78.4834
17.5314,8.8460,7.8295,-10.4077,68.0740
-10.9944,9.1745,5.6946,-6.9163,31.8860
35.9560,10.0259,11.2346,-1.8210,154.5459
-15.7069,7.0429,7.6516,11.4345,65.8967
49.0690,11.7287,10.5136,24.1253,308.4080
33.8294,12.2361,7.7198,-7.6406,162.0250
-6.8912,10.6885,3.4479,-6.7198,60.6759
-20.6079,8.6271,8.5108,1.6482,37.1666
36.8978,4.6447,12.0547,18.9401,174.0632
29.1869,12.7953,13.7885,5.2875,210.8164
30.7595,4.2896,8.8932,-0.1004,83.1795
33.7602,3.4319,3.6438,8.7645,118.7474
-15.7428,6.3058,7.6350,-2.3606,3.6075
4.4511,1.6821,13.5807,2.8429,22.8110
-12.7733,12.7419,7.6057,0.3064,108.6426
40.2803,8.0612,12.1445,17.7532,216.2803
23.2542,7.6834,9.1154,22.1975,195.5165
2.4938,8.8696,4.8596,16.1042,145.8383
-16.4874,6.9643,13.7384,4.2461,35.0412
1.0797,1.3848,2.3474,6.6604,30.0831
2.0880,8.3477,9.3982,-7.3723,41.7593
30.8020,9.5941,4.3423,15.6340,209.3447
24.2666,6.0010,2.0731,10.0696,130.4523
41.9921,10.0875,9.0469,21.3903,261.8358
12.5273,3.7240,8.9930,-4.5774,22.6910
-12.5088,3.6553,12.3104,16.1099,55.6274
29.6404,2.9370,12.9160,13.3329,121.7345
33.0157,5.4639,12.6447,-2.1637,90.0112
18.8507,11.1641,7.5529,12.6930,196.4583
33.7387,10.9349,11.1070,22.2018,261.4452
14.0595,5.5939,10.2311,21.9821,150.2283
16.1140,8.0694,7.7450,14.6262,155.2457
9.3554,9.6498,10.5554,-10.2213,61.8028
-19.1952,3.8945,16.1560,20.2738,59.0105
-13.3397,3.0177,4.0863,12.3378,34.2789
-18.7685,12.6652,15.4924,-0.5139,89.9676
24.1851,8.4107,1.8553,-5.0717,99.6417
1.3193,12.7770,5.9342,-7.7005,105.8835
15.1085,5.0531,5.6103,-10.1412,19.4224
43.4372,9.4364,11.0218,15.9018,232.9719
-3.3003,3.6712,3.0996,-3.2738,-1.1211
8.1372,4.1344,15.1176,-11.1026,-8.8063
32.6441,7.1428,14.2568,2.6990,126.4487
-4.7553,4.8354,11.4331,5.8565,40.8952
-15.5344,3.0115,8.3346,-5.7385,-42.4901
-0.4276,4.1546,15.9273,-10.3702,-22.8159
-9.5533,1.4290,14.2919,-5.0024,-39.2621
45.0085,9.4531,8.9890,13.1268,225.9148
36.3765,6.9054,12.2300,-8.9570,85.0196
23.9717,2.1309,10.0709,8.5364,86.4439
40.8737,3.0603,10.4071,-6.5828,67.1538
36.0607,2.2304,6.2956,-4.7595,59.0443
-7.7535,8.3511,8.3934,2.5439,63.6820
42.3717,2.1305,2.2499,-8.2695,58.8348
17.2933,10.0514,6.7176,-5.5915,101.9787
36.3283,1.2461,12.1333,0.9112,76.0889
42.6225,3.9925,16.2515,0.1978,103.8047
1.5782,11.6880,16.4090,15.7230,178.0783
-13.1863,9.6224,9.8916,-9.2331,21.2711
-4.8166,1.8756,10.7060,19.8367,71.2432
9.3247,10.8535,3.9715,18.2006,196.4850
37.0790,6.9164,12.1249,16.3417,188.8343
40.1119,11.1614,2.1305,-0.5532,186.7642
-20.5064,8.2089,5.5550,18.4466,100.6074
15.2631,9.1820,11.6938,-5.2363,88.3795
8.6362,12.9220,5.9650,-7.3969,123.1383
-5.2303,3.7880,1.7975,-10.3366,-32.9462
-12.4896,8.4873,14.3099,22.7545,133.7001
2.9707,6.5239,5.9653,-0.6036,48.9958
45.9466,1.4734,2.0097,21.9519,183.6862
1.9474,1.1736,2.1966,-1.9133,-3.8483
15.8341,2.4307,5.0281,21.5799,125.9460
28.9143,8.7891,3.8483,21.4454,218.5869
4.8177,7.8060,13.3888,22.1760,159.3144
47.9965,7.6412,6.1469,6.3577,181.3046
47.3338,1.3823,13.8751,20.0400,174.6510
-3.1235,6.6316,3.7815,23.1783,134.2568
14.3046,12.0955,8.8861,0.0108,149.1493
0.3624,5.7711,12.0086,3.4984,50.7868
-0.7763,8.4991,11.4319,14.6119,126.9334
-18.3810,10.3578,10.6181,-0.8867,55.5835
22.2791,10.4071,15.7971,15.8909,202.4494
14.6902,7.2314,4.6564,-9.2660,46.5573
-17.3450,11.2954,8.8995,7.3694,103.1430
-1.2161,5.6965,15.1439,-7.4744,2.4844
43.4869,11.6643,2.2463,-1.1470,199.7856
-3.9911,3.8827,1.8942,-2.4309,4.6550
-10.7125,4.3626,4.7328,19.0405,78.9333
13.7511,1.6374,11.1283,-4.8399,10.0382
48.9812,10.5470,5.1581,17.9126,268.1834
-3.8141,6.0047,4.0438,17.3765,103.0458
26.7216,3.7494,8.3408,6.4587,96.8663
33.0750,3.7815,10.8176,-3.3478,69.7454
-4.1277,11.8168,4.9769,-3.6048,95.8200
30.7034,11.0070,5.8111,5.2022,188.2790
5.1126,7.6424,10.8169,-11.6741,22.4584
23.8937,8.3933,16.1318,7.6600,146.5210
23.9806,6.6919,11.7959,23.2528,185.4884
17.0400,5.7000,13.5265,-6.2758,45.3994
-14.5894,11.9857,6.8690,9.2138,126.5191
38.3065,2.5074,5.3561,23.5858,179.7047
1.7754,6.0214,8.2683,19.8393,125.2773
-7.7572,5.1347,13.9141,19.4641,91.6098
-18.1050,6.9778,8.3008,18.4084,88.5786
20.9534,6.4916,14.5476,-0.5661,83.2300
27.1071,7.2267,16.8204,20.9528,190.8224
-19.8223,2.6790,2.1524,22.8296,62.9900
15.3586,7.1577,1.7266,6.3443,110.8963
